k,t,Bus_IMU.imu_gyro.1,Bus_IMU.imu_gyro.2,Bus_IMU.imu_gyro.3,Bus_IMU.imu_acc.1,Bus_IMU.imu_acc.2,Bus_IMU.imu_acc.3,Bus_Cmd.F_des.1,Bus_Cmd.q_des.1,Bus_Cmd.q_des.2,Bus_Cmd.q_des.3,Bus_Cmd.q_des.4,Bus_Cmd.q_ref.1,Bus_Cmd.q_ref.2,Bus_Cmd.q_ref.3,Bus_Cmd.q_ref.4,Bus_Cmd.Omega_ref.1,Bus_Cmd.Omega_ref.2,Bus_Cmd.Omega_ref.3,Bus_Cmd.tau_ref.1,Bus_Cmd.tau_ref.2,Bus_Cmd.tau_ref.3,Bus_Cmd.q_ext.1,Bus_Cmd.q_ext.2,Bus_Cmd.q_ext.3,Bus_Cmd.q_ext.4,Bus_Cmd.estop.1,Bus_Cmd.ack.1,batt_count.1,btn_ack.1,rotor_cmd.1,rotor_cmd.2,rotor_cmd.3,rotor_cmd.4,led.1,throttle.1,throttle.2,throttle.3,throttle.4
0,0,0.0017047935735938526,-0.0040219006112266805,0.002239188025590878,0.015801756040292117,-0.12023136954327719,0.03458091411725675,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,935.89670439635574,1303.4170083875167,938.94760658784003,1254.4035738705104,0,18.96282123405577,28.466934226162383,19.030270440248536,27.045236170993633
1,0.001,0.0073202276281441325,-0.0087153185876967069,0.0058025727052100412,0.041010638978259371,-0.10492050321150163,-0.053222629241757413,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,937.16156286951173,1301.6583864406628,942.16031792867648,1252.8755159708264,0,18.990760395200766,28.415145689614839,19.101513010812475,27.001641108295757
2,0.002,0.019122284500101085,-0.014026212305266364,0.01695883629660629,0.16312703825092847,0.063016545445983937,-0.00082525537932182091,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,948.47707778548101,1291.6861094686371,953.10795576866826,1246.383939756015,0,19.242234095071531,28.122566148785609,19.34594098005654,26.816933632078563
3,0.0030000000000000001,0.024294453157715175,-0.025732501958587447,0.023341690305368666,-0.13900234833177066,0.06868997354020337,-0.30802052456906182,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,954.22168534636251,1286.6282153871673,958.79209007935094,1242.8660473661735,0,19.370950987639112,27.974879916948083,19.473861925959802,26.717173261437186
4,0.0040000000000000001,0.040294946536327425,-0.038902242995337115,0.042918900375147014,-0.034160549553519062,0.08773930739912085,-0.11949937035550326,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,976.05791221148218,1268.8290280541637,978.44560664554331,1228.8114247200378,0,19.866651022610569,27.458972424121999,19.921468693947268,26.320975467184127
5,0.0050000000000000001,0.055072331944594446,-0.051637122148828735,0.055611796669577447,-0.026364093231416495,0.16770192368612427,-0.2989965103922812,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,989.74949584472381,1256.6790076967648,990.64055867424463,1220.5468297893919,0,20.182627475386976,27.11023587738643,20.203329017777342,26.089769684243915
6,0.0060000000000000001,0.067775599875898901,-0.066520373928484117,0.06999926521027193,-0.12355067235043528,0.16215177509416756,-0.4291550985422628,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1004.9179547543858,1242.9930803617588,1005.0629367475909,1210.3330420472385,0,20.537311004408725,26.720771549862235,20.540724485656984,25.805856353000994
7,0.0070000000000000001,0.08477360021544858,-0.08516758743186878,0.081368766025887523,-0.015752285880734882,-0.025088754950089311,-0.69699043532851224,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1016.2853890386924,1231.2057999525159,1016.6863363652883,1203.1602772481529,0,20.806286777679183,26.388204801124946,20.815823434447871,25.607683096644113
8,0.0080000000000000002,0.097116298612550334,-0.096313818373800889,0.099061266982657922,-0.087729302708252757,0.094886688482029635,-0.66348102755560978,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1034.8809260103712,1214.2842390375781,1034.5779148445065,1189.173354490759,0,21.252121404691216,25.915448633255782,21.244798829355286,25.224125865404158
9,0.0090000000000000011,0.11020072718346996,-0.1136068257479985,0.11254733716198684,-0.084192701353967531,-0.10415824028281485,-0.7881671086140698,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1048.236484160263,1200.4644913520949,1048.6623468056455,1179.1276579658913,0,21.57676636401925,25.533460963273079,21.58717901150014,24.951008420729348
10,0.01,0.1263541807484167,-0.12412806981998918,0.1225435055766699,0.10782953796310418,-0.049604460990248692,-1.0291987714560984,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1058.6709494960032,1189.6117263792582,1058.3694792625818,1172.1106089570253,0,21.832976040884031,25.236089143397848,21.825542149091035,24.761408640364728
11,0.010999999999999999,0.12997291882681355,-0.1327917378523103,0.13335480690402432,-0.20851457565622172,0.032846002136470626,-1.1869263406942046,9.4668416394543282,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,944,0,1069.3434557131739,1179.023570331068,1069.5421976939706,1162.9432293921768,0,22.097353234896175,24.948188906413723,22.102298650214244,24.515170305899048
